               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1011,            0.036621,             0.03669,             0.54127,            0.055555,            0.021574,           0.0058836,            0.089638,            0.035886,            0.028587,            0.070038,           0.0033291,           0.0033291
                   1,            0.079301,            0.034132,            0.021673,             0.14699,             0.11073,            0.068161,            0.030115,            0.078593,            0.041449,            0.024237,            0.040005,           0.0066295,           0.0066295
                   2,            0.068038,              0.0314,            0.015145,             0.21438,              0.2481,              0.1677,            0.072401,            0.064576,            0.037212,             0.02018,           0.0099389,           0.0098968,           0.0098968
                   3,            0.059508,            0.030106,            0.011337,             0.26919,              0.3221,              0.2445,             0.11079,            0.058607,            0.031805,            0.014589,           0.0098515,           0.0098515,           0.0098515
                   4,            0.053148,            0.028858,           0.0094541,             0.37926,               0.379,             0.30794,             0.14507,            0.054121,            0.032926,             0.01853,           0.0098515,           0.0098515,           0.0098515
                   5,            0.049724,            0.027769,            0.008434,             0.43619,              0.3621,             0.34163,             0.15552,            0.055853,            0.033472,             0.01488,            0.009802,            0.009802,            0.009802
                   6,            0.047473,            0.026836,           0.0077413,             0.47243,             0.38614,             0.37434,             0.17688,            0.051765,            0.031405,            0.011934,           0.0097525,           0.0097525,           0.0097525
                   7,            0.045716,            0.026629,           0.0072762,             0.46458,             0.39094,             0.37432,             0.18229,            0.050246,            0.034403,            0.014322,            0.009703,            0.009703,            0.009703
                   8,            0.044498,            0.026134,           0.0070013,             0.51282,             0.43531,             0.43591,             0.21552,            0.047915,            0.031825,            0.013118,           0.0096535,           0.0096535,           0.0096535
                   9,            0.043746,            0.026144,           0.0068108,             0.48793,             0.43247,             0.41346,             0.20571,             0.04825,            0.032477,            0.013211,            0.009604,            0.009604,            0.009604
                  10,            0.042706,            0.025722,           0.0062537,             0.49864,             0.42482,             0.43194,             0.22271,             0.05007,             0.03173,            0.013285,           0.0095545,           0.0095545,           0.0095545
                  11,            0.041963,            0.025217,           0.0062323,              0.5162,             0.45362,             0.45892,             0.23785,            0.044961,            0.030824,             0.01207,            0.009505,            0.009505,            0.009505
                  12,            0.041302,            0.025303,           0.0061681,             0.49879,             0.44052,             0.42382,             0.21627,            0.050156,            0.031848,            0.011915,           0.0094555,           0.0094555,           0.0094555
                  13,            0.040998,            0.025175,            0.005805,             0.55132,             0.45005,             0.46804,             0.24116,             0.04488,            0.031885,            0.013649,            0.009406,            0.009406,            0.009406
                  14,            0.040402,            0.024615,            0.005791,             0.62078,             0.44544,             0.48935,             0.25974,            0.045789,            0.030816,            0.012568,           0.0093565,           0.0093565,           0.0093565
                  15,            0.039691,            0.024272,           0.0055417,             0.53244,              0.4474,             0.46374,             0.24599,            0.045038,            0.032551,            0.012648,            0.009307,            0.009307,            0.009307
                  16,            0.039573,            0.024549,            0.005636,             0.56557,             0.48784,             0.51003,             0.26669,            0.043493,            0.029801,            0.010741,           0.0092575,           0.0092575,           0.0092575
                  17,            0.039217,            0.024313,           0.0054189,             0.58229,             0.46797,              0.4998,             0.26529,             0.04381,             0.03109,            0.010053,            0.009208,            0.009208,            0.009208
                  18,            0.039064,            0.024261,           0.0051679,             0.60976,             0.48485,             0.52177,              0.2799,            0.043255,            0.029051,            0.010141,           0.0091585,           0.0091585,           0.0091585
                  19,            0.038511,            0.023955,           0.0051609,             0.57185,             0.48385,             0.50718,             0.27514,             0.04185,            0.029591,            0.009391,            0.009109,            0.009109,            0.009109
                  20,            0.038321,            0.023762,           0.0050736,             0.55659,             0.50499,             0.51596,             0.27812,            0.041822,            0.028254,            0.010835,           0.0090595,           0.0090595,           0.0090595
                  21,            0.037935,              0.0241,           0.0049644,             0.60165,             0.49256,             0.52647,             0.28296,            0.042006,            0.029883,           0.0097426,             0.00901,             0.00901,             0.00901
