               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10129,            0.033294,            0.036562,             0.75853,            0.026577,            0.006861,           0.0013664,            0.098842,            0.039439,            0.032783,            0.070056,           0.0033271,           0.0033271
                   1,            0.077961,            0.031188,            0.020845,             0.41837,              0.1773,             0.13842,            0.051425,            0.074948,            0.036191,            0.022573,            0.040012,           0.0066165,           0.0066165
                   2,            0.065442,            0.029917,            0.015557,             0.31993,             0.26983,             0.19894,            0.080602,            0.068114,            0.034761,            0.020666,           0.0099241,           0.0098619,           0.0098619
                   3,            0.055805,            0.027946,            0.010794,             0.31449,             0.35285,             0.27895,             0.12309,            0.058379,            0.033591,            0.013557,            0.009802,            0.009802,            0.009802
                   4,            0.050371,            0.026766,           0.0089891,             0.42073,             0.31057,             0.29554,             0.14432,            0.059385,            0.038228,            0.017001,            0.009802,            0.009802,            0.009802
                   5,            0.047185,            0.025777,           0.0079918,             0.42398,              0.3221,             0.31132,             0.14835,            0.056308,            0.038143,            0.014047,            0.009736,            0.009736,            0.009736
                   6,            0.045517,            0.025415,           0.0074384,             0.42559,             0.35676,             0.32637,             0.15994,            0.051161,            0.037303,            0.012418,             0.00967,             0.00967,             0.00967
                   7,            0.043898,            0.024864,           0.0070558,             0.50743,             0.37473,             0.38059,             0.18893,            0.050832,            0.037654,            0.012378,            0.009604,            0.009604,            0.009604
                   8,            0.042616,             0.02425,           0.0066309,             0.45908,              0.4054,             0.39687,             0.19963,            0.049986,            0.035622,            0.012598,            0.009538,            0.009538,            0.009538
                   9,            0.041979,            0.024074,           0.0063209,             0.46353,             0.40549,             0.40103,             0.19997,            0.050713,            0.036761,            0.010717,            0.009472,            0.009472,            0.009472
                  10,            0.041368,             0.02396,           0.0060422,             0.52384,             0.43225,             0.44133,             0.22792,            0.044804,            0.032162,            0.010498,            0.009406,            0.009406,            0.009406
                  11,            0.040703,            0.023559,           0.0060422,             0.57415,             0.42248,             0.45316,             0.23248,            0.046976,            0.034116,            0.010484,             0.00934,             0.00934,             0.00934
                  12,            0.040085,            0.023351,           0.0057734,             0.57239,             0.42658,             0.45319,             0.23603,            0.046566,            0.033898,            0.010678,            0.009274,            0.009274,            0.009274
                  13,            0.039574,            0.023268,           0.0055989,             0.51566,             0.42533,              0.4341,             0.22755,            0.045608,            0.034412,            0.011384,            0.009208,            0.009208,            0.009208
                  14,              0.0393,            0.023214,            0.005431,             0.57244,             0.46385,             0.48836,             0.25849,            0.044499,            0.031784,           0.0094028,            0.009142,            0.009142,            0.009142
                  15,            0.038877,            0.022643,            0.005281,             0.59368,             0.44807,             0.48562,             0.25576,            0.044838,             0.03151,            0.011601,            0.009076,            0.009076,            0.009076
                  16,            0.038422,            0.022742,           0.0052533,             0.57153,             0.45055,              0.4809,             0.25779,            0.045878,            0.032238,           0.0095852,             0.00901,             0.00901,             0.00901
